LAMMPS data file via write_data, version 2 Aug 2023, timestep = 0, units = lj

1000 atoms
1 atom types

0.0 30.18000030517578 xlo xhi
0.0 30.18000030517578 ylo yhi
0.0 30.18000030517578 zlo zhi

Masses

1 1.

Atoms # sph
#atom-id atom-type rho esph cv entropy x y z ix iy iz
33 1 0.0 0.0 1.0 -0.00021956325508654118 0.7719625234603882 27.153676986694336 20.053955078125 0 0 0
34 1 0.0 0.0 1.0 -0.0003766993177123368 26.74884796142578 6.6096882820129395 26.634374618530273 0 0 0
35 1 0.0 0.0 1.0 -0.0004183290293440223 14.16307544708252 9.145929336547852 8.900862693786621 0 0 0
36 1 0.0 0.0 1.0 -0.0003840109275188297 24.713287353515625 19.059154510498047 26.88406753540039 0 0 0
37 1 0.0 0.0 1.0 -0.00021739135263487697 15.752828598022461 18.834768295288086 28.098628997802734 0 0 0
38 1 0.0 0.0 1.0 -0.00036400786484591663 27.2049617767334 6.785454273223877 23.090068817138672 0 0 0
39 1 0.0 0.0 1.0 -0.0004128502041567117 13.788525581359863 21.714893341064453 25.662073135375977 0 0 0
40 1 0.0 0.0 1.0 -0.00034455733839422464 0.07925634831190109 4.141427516937256 9.891077041625977 0 0 0
41 1 0.0 0.0 1.0 -0.0003734241472557187 7.895117282867432 21.954116821289062 2.1744542121887207 0 0 0
42 1 0.0 0.0 1.0 -0.00019596851780079305 28.25252914428711 18.304359436035156 16.61737632751465 0 0 0
43 1 0.0 0.0 1.0 -0.00040756043745204806 2.5177690982818604 3.784022092819214 8.800915718078613 0 0 0
44 1 0.0 0.0 1.0 -0.00033291857107542455 4.809030532836914 3.336822509765625 7.5341796875 0 0 0
45 1 0.0 0.0 1.0 -0.00018900874420069158 21.85938262939453 9.489313125610352 15.766664505004883 0 0 0
46 1 0.0 0.0 1.0 -0.000191793471458368 9.933494567871094 26.662874221801758 10.295137405395508 0 0 0
47 1 0.0 0.0 1.0 -0.0004078933852724731 8.441691398620605 3.329179048538208 29.97336196899414 0 0 0
48 1 0.0 0.0 1.0 -0.00018493497918825597 27.921079635620117 0.7807050943374634 23.190988540649414 0 0 0
49 1 0.0 0.0 1.0 -0.0004039750783704221 26.424596786499023 19.483888626098633 12.703577995300293 0 0 0
50 1 0.0 0.0 1.0 -0.00025466782972216606 15.707840919494629 17.21921157836914 7.282503604888916 0 0 0
51 1 0.0 0.0 1.0 -0.00038711412344127893 17.13553237915039 19.335527420043945 24.157852172851562 0 0 0
52 1 0.0 0.0 1.0 -0.0003643641248345375 25.9759464263916 24.038572311401367 26.812047958374023 0 0 0
53 1 0.0 0.0 1.0 -0.0004302685265429318 12.502659797668457 19.04886245727539 4.806197643280029 0 0 0
54 1 0.0 0.0 1.0 -0.00019918174075428396 16.08011817932129 26.8372859954834 14.165657043457031 0 0 0
55 1 0.0 0.0 1.0 -0.00033596582943573594 22.36575698852539 9.391860961914062 7.604569911956787 0 0 0
56 1 0.0 0.0 1.0 -0.00018187565729022026 21.00387954711914 26.91577911376953 5.481434345245361 0 0 0
57 1 0.0 0.0 1.0 -0.00038273853715509176 17.109607696533203 6.150702953338623 8.36739444732666 0 0 0
58 1 0.0 0.0 1.0 -0.00019786812481470406 22.185739517211914 1.836271047592163 18.24751091003418 0 0 0
59 1 0.0 0.0 1.0 -0.0003903690376318991 26.933732986450195 5.445369720458984 14.56960391998291 0 0 0
60 1 0.0 0.0 1.0 -0.0001893376902444288 20.99698829650879 1.634014368057251 29.260107040405273 0 0 0
61 1 0.0 0.0 1.0 -0.0004162808181717992 21.704063415527344 24.698144912719727 5.992191314697266 0 0 0
62 1 0.0 0.0 1.0 -0.00017099973047152162 0.09965677559375763 15.031454086303711 27.052827835083008 0 0 0
63 1 0.0 0.0 1.0 -0.000388677348382771 15.191178321838379 25.515399932861328 9.704360961914062 0 0 0
64 1 0.0 0.0 1.0 -0.00018059767899103463 8.468503952026367 1.2630138397216797 10.933070182800293 0 0 0
65 1 0.0 0.0 1.0 -0.00041949699516408145 4.804731845855713 21.628019332885742 14.2149076461792 0 0 0
66 1 0.0 0.0 1.0 -0.00020855051116086543 2.8136088848114014 26.44534683227539 6.08213996887207 0 0 0
67 1 0.0 0.0 1.0 -0.00041769471135921776 2.869941234588623 7.463525772094727 11.398700714111328 0 0 0
68 1 0.0 0.0 1.0 -0.000457271613413468 25.510055541992188 10.436226844787598 25.690855026245117 0 0 0
69 1 0.0 0.0 1.0 -0.0004041392239741981 0.9246864318847656 28.684642791748047 7.464282989501953 0 0 0
70 1 0.0 0.0 1.0 -0.0004548051510937512 24.12207794189453 11.809359550476074 16.227487564086914 0 0 0
71 1 0.0 0.0 1.0 -0.00037987987161614 28.90974235534668 18.211116790771484 18.860748291015625 0 0 0
72 1 0.0 0.0 1.0 -0.0004352157120592892 12.0619535446167 6.1862101554870605 1.5328644514083862 0 0 0
73 1 0.0 0.0 1.0 -0.00037683756090700626 12.40715217590332 13.39351749420166 22.409114837646484 0 0 0
74 1 0.0 0.0 1.0 -0.0004264965537004173 13.761781692504883 24.930171966552734 12.450185775756836 0 0 0
75 1 0.0 0.0 1.0 -0.0003874801332131028 12.330606460571289 24.624643325805664 8.041441917419434 0 0 0
76 1 0.0 0.0 1.0 -0.00038829533150419593 6.470785140991211 15.948692321777344 21.090383529663086 0 0 0
77 1 0.0 0.0 1.0 -0.00019482197239995003 1.969943881034851 1.3859952688217163 25.643247604370117 0 0 0
78 1 0.0 0.0 1.0 -0.00020150009368080646 15.65211296081543 16.18282127380371 2.5309572219848633 0 0 0
79 1 0.0 0.0 1.0 -0.00043682512477971613 14.177952766418457 17.750370025634766 1.1765143871307373 0 0 0
80 1 0.0 0.0 1.0 -0.00017372798174619675 5.776851654052734 2.482971668243408 22.546171188354492 0 0 0
81 1 0.0 0.0 1.0 -0.00024579657474532723 23.60190773010254 21.531328201293945 18.84492301940918 0 0 0
82 1 0.0 0.0 1.0 -0.00020225060870870948 17.70937728881836 6.34312105178833 13.078150749206543 0 0 0
83 1 0.0 0.0 1.0 -0.0003873357782140374 3.5465574264526367 1.4908318519592285 7.0115790367126465 0 0 0
84 1 0.0 0.0 1.0 -0.0003776263911277056 20.890514373779297 22.93619728088379 29.708473205566406 0 0 0
85 1 0.0 0.0 1.0 -0.00021202706557232887 12.383573532104492 9.444302558898926 13.767048835754395 0 0 0
86 1 0.0 0.0 1.0 -0.0005203617038205266 22.905582427978516 28.23526382446289 29.93405532836914 0 0 0
87 1 0.0 0.0 1.0 -0.0002038812090177089 1.073319673538208 21.824216842651367 22.078615188598633 0 0 0
88 1 0.0 0.0 1.0 -0.0002192477259086445 12.201457023620605 26.972976684570312 1.0492866039276123 0 0 0
89 1 0.0 0.0 1.0 -0.0003712933394126594 10.239842414855957 14.67387866973877 23.094491958618164 0 0 0
90 1 0.0 0.0 1.0 -0.0003916436107829213 4.156844139099121 27.55850601196289 3.337588310241699 0 0 0
91 1 0.0 0.0 1.0 -0.0003841015277430415 20.407779693603516 28.018129348754883 2.1518187522888184 0 0 0
92 1 0.0 0.0 1.0 -0.0003638935449998826 9.976336479187012 22.3900089263916 24.6267032623291 0 0 0
93 1 0.0 0.0 1.0 -0.0004053623997606337 16.902629852294922 28.335433959960938 23.431604385375977 0 0 0
94 1 0.0 0.0 1.0 -0.00038922467501834035 20.237632751464844 5.292129993438721 4.369868278503418 0 0 0
95 1 0.0 0.0 1.0 -0.0003943729097954929 16.433475494384766 20.228120803833008 26.520355224609375 0 0 0
96 1 0.0 0.0 1.0 -0.0004030702402815223 29.383272171020508 9.314757347106934 9.468010902404785 0 0 0
97 1 0.0 0.0 1.0 -0.00035733607364818454 19.898040771484375 1.8067399263381958 4.797040939331055 0 0 0
98 1 0.0 0.0 1.0 -0.00034763565054163337 13.086249351501465 18.929384231567383 18.776308059692383 0 0 0
99 1 0.0 0.0 1.0 -0.00021511154773179442 11.331843376159668 18.487184524536133 11.008288383483887 0 0 0
100 1 0.0 0.0 1.0 -0.00037608647835440934 12.909886360168457 12.435196876525879 1.8476686477661133 0 0 0
101 1 0.0 0.0 1.0 -0.00019130128202959895 28.726512908935547 17.044811248779297 3.5959835052490234 0 0 0
102 1 0.0 0.0 1.0 -0.00040332775097340345 17.333803176879883 1.7002042531967163 25.05215072631836 0 0 0
103 1 0.0 0.0 1.0 -0.0004304112517274916 10.304906845092773 21.729385375976562 27.786134719848633 0 0 0
104 1 0.0 0.0 1.0 -0.0001818664459278807 26.43550682067871 21.794628143310547 7.649806499481201 0 0 0
105 1 0.0 0.0 1.0 -0.0004114210605621338 3.4991044998168945 18.810550689697266 13.43940544128418 0 0 0
106 1 0.0 0.0 1.0 -0.0004044534871354699 8.967835426330566 3.4913442134857178 9.104079246520996 0 0 0
107 1 0.0 0.0 1.0 -0.0003565284423530102 29.838571548461914 25.987939834594727 14.3441801071167 0 0 0
108 1 0.0 0.0 1.0 -0.00020258557924535125 6.15292501449585 15.533185005187988 9.245193481445312 0 0 0
109 1 0.0 0.0 1.0 -0.00040575105231255293 8.6968355178833 5.975335121154785 18.594738006591797 0 0 0
110 1 0.0 0.0 1.0 -0.00045875832438468933 7.857826232910156 28.9844970703125 7.070259094238281 0 0 0
